"filename","city","state","lat","lon","correct_city","quality","confidence","landmarks","architecture","signs","nature","urban","beach","people","vehicles","text","custom_tags","notes","annotated_at","annotated_by"
"wikimedia_Guadalajara_Jalisco_1_1764045686.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",4,100,False,False,False,False,False,False,False,False,False,"Guadalajara,Jalisco,catedral,arquitectura gótica,neogótico,blanco y negro,nocturna,torres,iglesia,monumento,ciudad","Toma en blanco y negro de una de las torres de la Catedral de Guadalajara, Jalisco, iluminada de noche. Se aprecia el estilo arquitectónico gótico o neogótico","2025-11-25T07:31:42.85777+00:00","Emma"
"wikimedia_Guadalajara_Jalisco_5_1764045693.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",4,100,False,False,False,False,False,False,False,False,False,"Glorieta Minerva,estatua,monumento,nocturna,iluminación,arquitectura urbana,Jalisco,escultura,paisaje nocturno","La estatua de La Minerva en Guadalajara, Jalisco, vista de noche. La toma captura el monumento iluminado en su base de fuente, con un fuerte contraste de colores debido a la iluminación artificial y las plantas","2025-11-25T07:32:25.636101+00:00","Emma"
"wikimedia_Guadalajara_Jalisco_7_1764045695.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",4,95,False,False,False,False,False,False,False,False,False,"estatua,escultura,monumento,figura ecuestre,personaje histórico,aire libre,cielo azul,pedestal,jardín","Estatua ecuestre de un personaje histórico (a caballo) en Guadalajara, Jalisco. La imagen está tomada a la altura del monumento contra el fondo de cielo azul y un poco de vegetación.","2025-11-25T07:33:09.997335+00:00","Emma"
"wikimedia_Guadalajara_Jalisco_6_1764045694.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"🤔",3,95,False,False,False,False,False,False,False,False,False,"arquitectura colonial,arcos,pórtico,claustro,columnas de piedra,piso de ladrillo,adoquín,muro blanco,patio,entrada","Una vista de un pórtico o claustro colonial, con arcos de piedra que descansan sobre columnas robustas. La pared de fondo es blanca y contrasta con el techo de vigas de madera. El piso es de baldosas de terracota bajo el pórtico y de adoquines en el exterior.","2025-11-25T07:42:14.164268+00:00","Emma"
"wikimedia_Guadalajara_Jalisco_9_1764045698.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",5,80,False,False,False,False,False,False,False,False,False,"Catedral de Guadalajara,torres,arquitectura religiosa,monumento,cantera,centro histórico,transporte público,sitren,bus turístico,paisaje urbano","La fachada principal de la Catedral de Guadalajara, Jalisco, con sus características torres de puntas amarillas, parcialmente enmarcada por la parte superior de un autobús turístico de la línea SITREN","2025-11-25T07:43:07.138299+00:00","Emma"
"wikimedia_Guadalajara_Jalisco_12_1764045703.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"🤔",3,90,False,False,False,False,False,False,False,False,False,"multitud,gente,noche,evento social,centro histórico,arquitectura colonial,cantera,policía,arbolado,iluminación urbana,vida nocturna","Una multitud de personas reunidas en una calle de un centro histórico por la noche. Los edificios circundantes son de piedra de estilo colonial con grandes columnas. Hay iluminación urbana fuerte y un oficial en el primer plano.","2025-11-25T07:43:49.355378+00:00","Emma"
"wikimedia_Guadalajara_Jalisco_14_1764045706.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"🤔",3,90,False,False,False,False,False,False,False,False,False,"iglesia,fachada religiosa,templo,arquitectura barroca,cantera,escalinata,atrio elevado,cruz de piedra,campanario,torre,personas sentadas,peatones,árboles,cielo nublado,perspectiva de ángulo bajo,triciclo,bici-taxi","Iglesia de fachada de piedra con un gran atrio elevado al que se accede por una amplia escalinata de piedra. La escena incluye personas sentadas en los escalones y un triciclo de carga en el primer plano izquierdo, situando la escena en un entorno urbano histórico.","2025-11-25T07:45:42.397052+00:00","Emma"
"pexels_Guadalajara_Jalisco_1_1764045712.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",5,100,False,False,False,False,False,False,False,False,False,"Arcos de Guadalajara,monumento,arco triunfal,arquitectura monumental,noche,iluminación de colores,contraste de luz,larga exposición,tráfico,líneas de luz,arquitectura neoclásica,escudo,texto legible,Jalisco","Vista nocturna de los Arcos de Guadalajara, con iluminación artificial de colores (azul y morado) destacando la estructura. La toma usa una exposición larga, creando estelas de luz en el asfalto de la calle, indicando tráfico en la base del monumento","2025-11-25T07:46:38.472428+00:00","Emma"
"pexels_Guadalajara_Jalisco_3_1764045714.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",5,95,False,False,False,False,False,False,False,False,False,"catedral,iglesia,arquitectura neogótica,torres gemelas,fachada de piedra rosa,cantera rosa,rosetón,plaza pública,atrio,fuente,cielo azul,soleado,farolas,monumentos","Toma frontal de una gran catedral con dos altas torres gemelas de estilo gótico o neogótico. La fachada es de un color cantera rosada/terracota y domina la vista desde el centro de una plaza abierta con árboles y mobiliario urbano. El cielo está despejado y azul.","2025-11-25T07:47:52.465316+00:00","Emma"
"wikimedia_Puebla_Puebla_0_1764045847.jpg","Puebla","Puebla",19.041296,-98.2062,"🤔",3,90,False,False,False,False,False,False,False,False,False,"paisaje rural,camino de tierra,carretera sin pavimentar,vegetación semidesértica,matorral espinoso,árboles secos,cielo nublado,agave,nopal,horizonte,perspectiva de camino,terreno árido,sendero","Vista de un camino de tierra sin pavimentar que serpentea a través de un paisaje rural y semiárido. La vegetación es baja y escasa, característica de un matorral espinoso, con cactus y árboles pequeños. El cielo tiene franjas de nubes blancas sobre un azul intenso","2025-11-25T07:52:12.081304+00:00","Emma"
